Name,Class,Role,Tier,Trend,Win %,Role %,Pick %,Ban %,KDA
Volibear,Fighter,JUNGLE,C,3.38,50.26%,45.29%,1.74%,Blue (0.72%)/Red (0.23%),2.67
Volibear,Fighter,TOP,C,2.77,48.32%,50.91%,1.81%,Blue (0.09%)/Red (0.86%),1.78
Warwick,Fighter,JUNGLE,A,-25.26,49.82%,57.49%,4.77%,Blue (3.81%)/Red (3.31%),2.21
Warwick,Fighter,TOP,A,-3.81,51.36%,40.01%,2.51%,Blue (4.82%)/Red (2.3%),1.84
Wukong,Fighter,JUNGLE,S,5.14,51.41%,77.35%,5.62%,Blue (2.01%)/Red (0.7%),2.8
Wukong,Fighter,TOP,B,2.51,51.42%,18.79%,1.31%,Blue (2.45%)/Red (0.26%),2.13
Xayah,Marksman,ADC,A,14.43,51.81%,98.64%,8.54%,Blue (1.17%)/Red (0.07%),2.51
Xerath,Mage,SUPPORT,A,2.56,51.54%,69.16%,3.72%,Blue (2.14%)/Red (0.97%),2.63
Xerath,Mage,MID,B,-0.79,50.34%,27.42%,1.36%,Blue (1.12%)/Red (1.99%),3.3
Xin Zhao,Fighter,JUNGLE,B,4.88,51.03%,88.20%,2.15%,Blue (0.25%)/Red (0.03%),2.3
Yasuo,Fighter,MID,S+,14.87,49.44%,72.19%,11.73%,Blue (6.86%)/Red (13.0%),1.75
Yasuo,Fighter,TOP,B,-1.28,47.93%,16.65%,2.60%,Blue (10.6%)/Red (9.26%),1.49
Yasuo,Fighter,ADC,D,-2.32,50.20%,10.02%,1.46%,Blue (13.99%)/Red (5.87%),2.0
Yone,Assassin,MID,S+,6.47,50.42%,63.80%,8.52%,Blue (1.94%)/Red (8.59%),1.94
Yone,Assassin,TOP,A,-4.59,48.25%,33.51%,4.34%,Blue (7.05%)/Red (3.48%),1.63
Yorick,Fighter,TOP,B,0.62,51.01%,89.94%,3.02%,Blue (2.11%)/Red (0.6%),1.56
Yuumi,Support,SUPPORT,S,-25.55,44.44%,98.81%,7.96%,Blue (5.2%)/Red (14.66%),3.88
Zac,Tank,JUNGLE,S+,7.78,52.12%,69.42%,6.49%,Blue (9.76%)/Red (5.01%),3.53
Zac,Tank,TOP,A,2.22,53.24%,13.56%,1.29%,Blue (0.36%)/Red (14.41%),2.73
Zed,Assassin,MID,S+,1.05,48.68%,77.39%,10.00%,Blue (2.43%)/Red (34.47%),2.22
Zed,Assassin,JUNGLE,D,-23.06,44.36%,18.28%,2.27%,Blue (3.46%)/Red (33.44%),2.31
Zeri,Marksman,ADC,B,-14.49,49.84%,95.18%,6.55%,Blue (0.42%)/Red (2.03%),2.49
Ziggs,Mage,MID,B,-4.52,50.44%,56.28%,1.40%,Blue (0.13%)/Red (0.1%),2.51
Ziggs,Mage,ADC,D,-3.69,51.96%,32.03%,0.74%,Blue (0.1%)/Red (0.13%),2.6
Ziggs,Mage,SUPPORT,D,-5.34,47.47%,12.02%,0.32%,Blue (0.15%)/Red (0.12%),2.04
Zilean,Support,MID,A,-3.47,53.33%,15.52%,0.49%,Blue (0.85%)/Red (0.55%),3.59
Zilean,Support,SUPPORT,A,-2.49,50.95%,79.72%,2.67%,Blue (1.12%)/Red (0.28%),3.11
Zoe,Mage,MID,A,2.43,49.14%,87.85%,3.45%,Blue (0.27%)/Red (1.18%),2.6
Zoe,Mage,SUPPORT,D,-3.55,47.73%,10.03%,0.37%,Blue (0.93%)/Red (0.52%),2.14
Zyra,Mage,SUPPORT,A,-4.48,51.13%,91.23%,3.67%,Blue (0.61%)/Red (1.33%),2.19
