Name,Class,Role,Tier,Trend,Win %,Role %,Pick %,Ban %,KDA
Shen,Tank,TOP,S+,20.45,52.74%,87.85%,6.34%,Blue (0.35%)/Red (1.71%),2.98
Shyvana,Fighter,JUNGLE,C,-5.1,48.72%,82.59%,1.49%,Blue (0.13%)/Red (0.12%),2.45
Shyvana,Fighter,TOP,D,-11.61,49.83%,12.59%,0.21%,Blue (0.16%)/Red (0.1%),1.88
Singed,Tank,TOP,B,-0.57,50.95%,77.10%,1.65%,Blue (0.18%)/Red (0.24%),2.04
Sion,Tank,TOP,A,4.16,51.27%,84.01%,3.70%,Blue (0.63%)/Red (0.07%),1.63
Sivir,Marksman,ADC,B,1.71,51.04%,97.68%,2.69%,Blue (0.38%)/Red (0.08%),2.53
Skarner,Fighter,JUNGLE,C,-7.62,47.83%,76.00%,0.74%,Blue (0.1%)/Red (0.06%),2.76
Skarner,Fighter,TOP,D,-6.83,48.90%,22.21%,0.18%,Blue (0.06%)/Red (0.1%),2.22
Sona,Support,SUPPORT,A,-2.71,52.85%,97.98%,4.94%,Blue (0.24%)/Red (0.76%),2.98
Soraka,Support,SUPPORT,S,-1.48,52.28%,96.57%,7.25%,Blue (2.8%)/Red (1.28%),2.79
Swain,Mage,MID,B,4.28,52.30%,11.30%,0.40%,Blue (1.56%)/Red (0.2%),2.67
Swain,Mage,ADC,B,2.36,53.12%,21.43%,0.55%,Blue (1.14%)/Red (0.62%),2.85
Swain,Mage,SUPPORT,B,-1.79,48.89%,62.01%,2.54%,Blue (0.09%)/Red (1.52%),2.24
Sylas,Mage,MID,A,0.78,49.56%,75.03%,6.95%,Blue (0.92%)/Red (3.32%),2.14
Sylas,Mage,TOP,C,-5.81,47.86%,21.17%,1.98%,Blue (4.13%)/Red (0.11%),1.86
Syndra,Mage,MID,A,2.47,49.35%,89.61%,4.24%,Blue (0.99%)/Red (0.17%),2.26
Tahm Kench,Support,TOP,S+,21.07,51.28%,92.57%,6.48%,Blue (11.27%)/Red (4.97%),2.6
Taliyah,Mage,SUPPORT,B,2.15,53.60%,15.08%,0.26%,Blue (0.07%)/Red (0.11%),2.1
Taliyah,Mage,MID,C,0.0,50.43%,16.58%,0.25%,Blue (0.07%)/Red (0.12%),2.47
Taliyah,Mage,JUNGLE,C,-5.52,49.22%,64.73%,1.18%,Blue (0.06%)/Red (0.13%),2.61
Talon,Assassin,JUNGLE,S,-11.56,49.65%,73.79%,6.45%,Blue (4.16%)/Red (17.43%),2.41
Talon,Assassin,MID,B,1.37,49.27%,25.14%,2.14%,Blue (19.69%)/Red (1.9%),2.17
Taric,Support,SUPPORT,B,5.02,50.53%,89.39%,1.29%,Blue (0.02%)/Red (0.14%),2.82
Teemo,Marksman,TOP,S,-5.25,49.11%,84.36%,4.91%,Blue (5.2%)/Red (4.4%),1.71
Thresh,Support,SUPPORT,S,-2.82,48.88%,99.40%,12.27%,Blue (2.07%)/Red (4.35%),2.57
Tristana,Marksman,ADC,B,-0.82,49.20%,87.49%,5.35%,Blue (1.33%)/Red (1.06%),2.24
Tristana,Marksman,MID,C,0.0,49.32%,10.20%,0.48%,Blue (1.8%)/Red (0.59%),2.0
Trundle,Fighter,JUNGLE,A,1.44,52.85%,62.99%,3.86%,Blue (2.22%)/Red (0.38%),2.84
Trundle,Fighter,TOP,B,3.38,52.78%,31.17%,1.84%,Blue (0.89%)/Red (1.71%),1.83
Tryndamere,Fighter,TOP,S+,11.36,51.00%,82.71%,5.76%,Blue (4.07%)/Red (8.65%),1.89
Tryndamere,Fighter,MID,C,-6.63,49.93%,12.91%,0.82%,Blue (7.18%)/Red (5.54%),2.09
Twisted Fate,Mage,MID,A,-0.72,48.96%,94.59%,4.41%,Blue (1.28%)/Red (0.04%),2.34
Twitch,Marksman,ADC,A,1.31,52.14%,81.44%,6.69%,Blue (3.06%)/Red (1.15%),2.42
Udyr,Fighter,JUNGLE,C,-5.24,48.61%,95.02%,1.73%,Blue (0.56%)/Red (0.05%),2.55
